mot	racine
l'	l'
entreprise	entrepris
Naskéo	naskéo
Environnement	environ
spécialisée	spécialis
valorisation	valoris
déchets	déchet
Cela	cel
passe	pass
modélisation	modélis
croissance	croissanc
comportement	comport
populations	popul
d'	d'
algues	algu
bactéries	bacter
Ainsi	ains
l'	l'
équipe	équip
Biocore	biocor
l'	l'
Inria	inri
conçu	conçu
modèles	model
comportement	comport
micro-algues	micro-algu
bactéries	bacter
modèles	model
qui	qui
second	second
temps	temp
implantés	implant
simulateurs	simul
numériques	numer
Grâce	grâc
derniers	derni
possible	possibl
réaliser	réalis
expérimentations	expériment
in	in
silico	silico
moindre	moindr
coût	coût
exemple	exempl
estimer	estim
meilleures	meilleur
conditions	condit
d'	d'
exposition	exposit
soleil	soleil
d'	d'
alimentation	aliment
algues	algu
production	product
d'	d'
une	une
quantité	quantit
élevée	élev
biogaz	biogaz
La	la
mise	mis
place	plac
d'	d'
un	un
premier	premi
système	system
pilote	pilot
extérieur	extérieur
composé	compos
d'	d'
un	un
bassin	bassin
culture	cultur
ovoïde	ovoïd
d'	d'
un	un
méthaniseur	méthaniseur
permettre	permettr
valider	valid
conditions	condit
réelles	réel
résultats	résultat
obtenus	obtenus
laboratoire	laboratoir
Restera	rest
ensuite	ensuit
franchir	franch
nouvelle	nouvel
étape	étap
celle	cel
pilote	pilot
industriel	industriel
Pour	pour
l'	l'
heure	heur
autre	autr
piste	pist
explorer	explor
Symbiose	symbios
Il	il
s'	s'
agit	agit
d'	d'
utiliser	utilis
micro-algues	micro-algu
nettoyer	nettoi
fumées	fum
d'	d'
usines	usin
Les	le
micro-algues	micro-algu
peuvent	peuvent
ingérer	inger
proportion	proport
CO2	co2
croissance	croissanc
Aussi	auss
pourrait	pourr
-on	-on
utiliser	utilis
étape	étap
sorte	sort
filtre	filtr
avant	avant
réutiliser	réutilis
seconde	second
produire	produir
biogaz	biogaz
biocarburant	biocarbur
Des	de
réseaux	réseau
sans	san
fil	fil
moindre	moindr
coût	coût
usines	usin
Le	le
réseau	réseau
sans	san
fil	fil
concept	concept
évoque	évoqu
évidemment	évident
secteurs	secteur
téléphonie	téléphon
l'	l'
Internet	internet
mobiles	mobil
Pour	pour
autant	aut
existe	exist
d'	d'
autres	autr
types	typ
réseaux	réseau
sans	san
fil	fil
complexes	complex
fonctionnement	fonction
nécessite	nécessit
l'	l'
utilisation	utilis
fixes	fix
télécommunications	télécommun
mobiles	mobil
Il	il
s'	s'
agit	agit
réseaux	réseau
permettent	permettent
communiquer	communiqu
dispersés	dispers
vastes	vast
sites	sit
industriels	industriel
non	non
équipés	équip
réseau	réseau
câblé	câbl
d'	d'
indiquer	indiqu
dépassement	dépass
d'	d'
un	un
seuil	seuil
pollution	pollut
degré	degr
d'	d'
usure	usur
d'	d'
éléments	élément
machines	machin
Le	le
problème	problem
informations	inform
envoyées	envoi
ondes	onde
radio	radio
portée	port
n'	n'
est	est
quelques	quelqu
dizaines	dizain
mètres	metr
D'	d'
où	où
nécessité	nécess
d'	d'
utiliser	utilis
intermédiaires	intermédiair
La	la
difficulté	difficult
combiner	combin
exigences	exigent
industriels	industriel
savoir	savoir
minimiser	minimis
consommation	consomm
énergétique	énerget
plupart	plupart
fonctionnant	fonction
batteries	batter
garantir	garant
l'	l'
envoi	envoi
message	messag
délais	del
impartis	impart
compatible	compatibl
interfaces	interfac
existantes	exist
explique	expliqu
Pascale	pascal
Minet	minet
l'	l'
équipe	équip
projet	projet
Hipercom	hipercom
l'	l'
Inria	inri
Ajoutons	ajouton
disposant	dispos
capacités	capac
mémoire	mémoir
limitées	limit
programmes	programm
développés	développ
doivent	doivent
simples	simpl
Dans	dan
ANR	anr
Agence	agenc
Nationale	national
Recherche	recherch
Ocari	ocar
coordonne	coordon
EDF	edf
rassemble	rassembl
bien	bien
acteurs	acteur
secteur	secteur
académique	academ
universités	univers
Clermont	clermont
Ferrand	ferrand
Toulouse	toulous
Paris	paris
Sud	sud
l'	l'
Inria	inri
industriels	industriel
DCNS	dcn
Telit	tel
l'	l'
Inria	inri
mis	mis
point	point
protocole	protocol
permet	permet
choisir	chois
bons	bon
prenant	pren
compte	compt
l'	l'
existence	existent
mobile	mobil
exemple	exempl
portés	port
intervenant	interven
humain	humain
Des	de
disposent	disposent
états	état
possibles	possibl
transmission	transmiss
réception	récept
veille	veil
Notre	notr
protocole	protocol
vise	vis
laisser	laiss
souvent	souvent
veille	veil
garantissant	garant
l'	l'
envoi	envoi
message	messag
délais	del
évitant	évit
passer	pass
toujours	toujour
mêmes	mêm
capteurs	capteur
précise	précis
chercheuse	chercheux
l'	l'
Inria	inri
Dès	des
septembre	septembr
prochain	prochain
tests	test
vraie	vrai
grandeur	grandeur
doivent	doivent
réalisés	réalis
usines	usin
d'	d'
EDF	edf
constructeur	constructeur
naval	naval
militaire	militair
qu'	qu'
est	est
DCNS	dcn
Caractéristiques	caractérist
mise	mis
service	servic
grande	grand
base	bas
données	don
monde	mond
Ce	ce
caractéristiques	caractérist
structurales	structural
physiologiques	physiolog
reproductives	reproduct
déterminent	déterminent
manière	mani
celles-ci	celles-c
battent	battent
avoir	avoir
accès	acces
ressources	ressourc
grandissent	grand
affectent	affectent
écosystèmes	écosystem
Or	or
connaître	connaîtr
traits	trait
fonctionnels	fonctionnel
appelle	appel
utile	util
déterminer	détermin
l'	l'
influence	influenc
végétaux	végétal
cycles	cycl
l'	l'
eau	eau
carbone	carbon
Mais	mais
rassembler	rassembl
données	don
grand	grand
nombre	nombr
d'	d'
espèces	espec
alimenter	aliment
modèles	model
permettre	permettr
derniers	derni
mieux	mieux
représenter	représent
effets	effet
changements	chang
environnementaux	environnemental
réchauffement	réchauff
climatique	climat
écosystèmes	écosystem
resté	rest
difficile	difficil
jusqu'	jusqu'
ici	ici
D'	d'
où	où
l'	l'
importance	import
l'	l'
initiative	initi
TRY	try
qui	qui
compilant	compil
bases	bas
données	don
constitue	constitu
aujourd'hui	aujourd'hui
grande	grand
base	bas
données	don
caractéristiques	caractérist
plantes	plant
Une	une
base	bas
données	don
l'	l'
intérieur	intérieur
laquelle	laquel
traits	trait
fonctionnels	fonctionnel
classés	class
groupes	group
vont	vont
hauteur	hauteur
longévité	longev
plante	plant
taille	taill
graine	grain
passant	pass
contenu	contenu
azote	azot
feuille	feuill
porosité	poros
